Time,bittrex,binance,bitfinex,poloniex,MAX-DIFF
1518454800,8680.9999,8665.26,8666.1,8767.561386,0.011805922
1518454820,8680.9999,8694.72,8679.9,8767.561385,0.010099354
1518454840,8690,8699.97,8688.4,8758.618479,0.008081865
1518454860,8703,8674.6,8679.9,8758.618479,0.009685574
1518454880,8703,8677.94,8670.1,8758.618479,0.010209626
1518454900,8690,8680,8666.2,8763,0.011169832
1518454920,8681,8679,8666.1,8767.56139,0.011707849
1518454940,8681,8679.01,8664.5,8770,0.012176121
1518454960,8681.1,8683.05,8666.2,8767.56139,0.011696175
1518454980,8681.1,8684.99,8667.1,8767.56139,0.011591119
1518455000,8681.1,8681.04,8667.1,8759.133441,0.010618712
1518455020,8681.1,8682.21,8669,8767.56139,0.011369407
1518455040,8694.999,8685.63,8670,8767.56139,0.011252755
1518455060,8693.399,8669.92,8657,8774.999996,0.013630588
1518455080,8682.1,8655.08,8654.389196,8770,0.013358632
1518455100,8681.1,8650,8654,8770,0.013872832
1518455120,8681,8630,8632.3,8784.56139,0.017909779
1518455140,8665,8630.87,8631.062001,8784.561389,0.017807172
1518455160,8664.56675,8620.23,8629,8784.113524,0.019011502
1518455180,8631,8642.05,8628.2,8785,0.018172968
1518455200,8631,8642.07,8628.2,8800,0.019911453
1518455220,8626.3097,8647.96,8635.97299,8796,0.019671251
1518455240,8626.65485,8657.55,8657.2,8796,0.019630454
1518455260,8640,8666.95,8663.2,8796,0.018055556
1518455280,8640,8649.84,8651.6,8796,0.018055556
1518455300,8640,8642,8646,8797.319004,0.018208218
1518455320,8635.2,8666.56,8654.6,8797.319004,0.018774204
1518455340,8635.2,8655.09,8660,8798.6388,0.018927043
1518455360,8673.4,8647.9,8643.4,8800.470001,0.018172247
1518455380,8681,8647.02,8643.4,8800.478801,0.018173265
1518455400,8681,8654.97,8653.9,8800.470001,0.016936873
1518455420,8631.1,8654,8661.1,8800.470001,0.019623223
1518455440,8635.6,8654,8661.7,8801.47,0.019207698
1518455460,8693.399,8636.41,8653.4,8801.47,0.019112108
1518455480,8635.6,8638,8650.3,8810,0.02019547
1518455500,8635.6,8645,8650,8809.999996,0.020195469
1518455520,8635.6,8648.65,8650,8800,0.019037473
1518455540,8635.6,8647.04,8649.2,8796.53341,0.018636043
1518455560,8651.7,8642,8655.3,8754.153697,0.012977748
1518455580,8651.7,8650.02,8660,8754.153697,0.01203855
1518455600,8651.7,8650,8661.5,8758.62426,0.012557718
1518455620,8660,8658.53,8661.5,8779.999999,0.01402894
1518455640,8660,8660.02,8671.8,8784.33341,0.014357207
1518455660,8661,8668.99,8680,8776.33341,0.013316408
1518455680,8661,8667.18,8681,8784.33341,0.014240089
1518455700,8661,8670.08,8681.1,8784.33341,0.014240089
1518455720,8661,8670,8681.1,8784.33341,0.014240089
1518455740,8686.8,8668.43,8681,8775.999999,0.012409398
1518455760,8681,8654.99,8667.4,8787.130035,0.015267497
1518455780,8681,8667.27,8667.4,8787.130036,0.013829041
1518455800,8681,8665.85,8673.4,8787.130035,0.013995169
1518455820,8681,8660.39,8678.7,8787.130035,0.014634449
1518455840,8681,8660.45,8677.4,8787,0.014612405
1518455860,8661,8665.97,8677.3,8784.33341,0.014240089
1518455880,8680.9,8661.53,8677.4,8775,0.013100457
1518455900,8661,8667,8677.4,8763.638051,0.011850601
1518455920,8660,8669.95,8677.3,8763.638051,0.011967442
1518455940,8660,8667,8682.380913,8780,0.013856813
1518455960,8680.9,8669,8682,8770,0.011650709
1518455980,8681,8669.95,8681.9,8770,0.011539859
1518456000,8681,8684.99,8690.4,8770,0.010252275
1518456020,8681,8676.7,8690.9,8780,0.011905448
1518456040,8681,8683.98,8699.1,8780,0.011404216
1518456060,8686.8,8680.57,8698.9,8779.999997,0.011454317
1518456080,8697,8687.34,8699.5,8778,0.010435876
1518456100,8696,8697.99,8700,8770,0.00850966
1518456120,8696,8699.9,8709.3715,8769,0.008394664
1518456140,8697,8709.05,8720.8,8770,0.008393699
1518456160,8706.8,8717.42,8720.9,8770,0.007258694
1518456180,8706.8,8705.24,8714.2,8770,0.007439198
1518456200,8713,8700.48,8717.1,8770,0.007990364
1518456220,8697,8709.93,8714,8770,0.008393699
1518456240,8697,8708,8711,8778,0.009313556
1518456260,8697,8708.98,8711.1,8763.449341,0.00764049
1518456280,8720,8705,8710.9,8761.25967,0.006462914
1518456300,8720,8696.83,8702.1,8740,0.004963878
1518456320,8720,8704.94,8702.3,8740,0.004332188
1518456340,8720,8709,8710.9,8725.038246,0.001841571
1518456360,8720,8699.94,8710.3,8725.038246,0.002884876
1518456380,8709,8698.04,8710.3,8717,0.002179801
1518456400,8704,8700,8710.4,8707.230036,0.001195402
1518456420,8718,8704.52,8710.3,8715.430036,0.001548621
1518456440,8719,8704.87,8710.3,8745.630034,0.00468244
1518456460,8720,8704.99,8710.4,8750,0.005170598
1518456480,8719,8699.96,8710.3,8745.630034,0.005249453
1518456500,8721,8693.07,8702.3,8745.630034,0.006046199
1518456520,8720,8682.2,8691.1,8745.630034,0.007305756
1518456540,8719,8681.98,8677.9,8745.630032,0.007804887
1518456560,8702.3,8691.65,8679.6,8728.510406,0.005635099
1518456580,8700.35,8693.2,8686.8,8728.510406,0.004801585
1518456600,8697.5,8692.83,8690,8728.630034,0.004445343
1518456620,8697,8694.03,8690,8728.630034,0.004445343
1518456640,8697,8692.81,8690,8728.510406,0.004431577
1518456660,8697,8685,8689.9,8728.630034,0.005023608
1518456680,8697,8674,8687,8745.630034,0.008258016
1518456700,8697,8670.01,8668.7,8750,0.009378569
1518456720,8688.5,8672.12,8670.3,8753,0.009538309
1518456740,8684.25,8681.03,8676.9,8753,0.008770413
1518456760,8681.3,8690.07,8689.7,8753,0.008259132
1518456780,8680.9,8694.69,8696.3,8753,0.00830559
1518456800,8672.231,8694.8,8698.9,8750,0.008967589
1518456820,8680.9,8702.44,8700,8738.004086,0.00657813
1518456840,8684.25,8704.97,8703,8746,0.007110574
1518456860,8681,8705,8705.1,8738.004086,0.006566535
1518456880,8684.25,8709.92,8706,8738.004086,0.006189836
1518456900,8685,8705.08,8705.9,8738.004086,0.006102946
1518456920,8685,8710,8706,8739.004086,0.006218087
1518456940,8696,8713,8709.5,8743.62,0.005476081
1518456960,8696,8710,8709.5,8743.62,0.005476081
1518456980,8696,8705.19,8709.5,8734.553806,0.00443351
1518457000,8697,8705.19,8709.5,8756.999998,0.00689893
1518457020,8697,8710.02,8709.5,8771.449637,0.008560381
1518457040,8697,8710.18,8710.1,8771.004086,0.008509151
1518457060,8697,8719,8712.2,8773.62,0.008809934
1518457080,8697,8719.55,8712.3,8771.004085,0.008509151
1518457100,8697,8717,8712.2,8758.741521,0.007099175
1518457120,8697,8709.93,8707.1,8750.004086,0.006094525
1518457140,8697,8705.19,8693.1,8750.004086,0.006545891
1518457160,8697,8704.86,8695.6,8750,0.006256038
1518457180,8697,8709,8695.6,8750,0.006256038
1518457200,8697,8705.77,8701,8750,0.006094055
1518457220,8698,8713.62,8702.2,8763.808876,0.007565978
1518457240,8698,8709.37,8699.1,8750.004086,0.005978856
1518457260,8700,8709.68,8698.2,8763.808876,0.007542811
1518457280,8700,8709,8698.1,8788.561388,0.010400132
1518457300,8697,8709.67,8698.2,8788.561389,0.010527928
1518457320,8697,8705.44,8698.2,8779.104086,0.009440507
1518457340,8697,8706.86,8701.7,8788.561387,0.010527928
1518457360,8697,8707.86,8704,8777.212626,0.009223022
1518457380,8697,8715.97,8703.9,8788.561384,0.010527927
1518457400,8696,8710.96,8703.2,8777.212627,0.009339079
1518457420,8684.25,8710.88,8702,8777.212627,0.010704739
1518457440,8684.25,8710,8700,8777.212627,0.010704739
1518457460,8684.25,8710,8696.9,8777.212627,0.010704739
1518457480,8696,8713.51,8698,8777.212627,0.009339079
1518457500,8696,8705.03,8697.1,8777.212627,0.009339079
1518457520,8696,8709.64,8696.1,8773.81,0.008947792
1518457540,8696,8709.82,8697.7,8762.491624,0.007646231
1518457560,8697,8710,8697.2,8757.172213,0.006918732
1518457580,8697,8714.13,8697.8,8757.172213,0.006918732
1518457600,8697,8712,8712,8750,0.006094055
1518457620,8696,8712,8705,8769.10376,0.008406596
1518457640,8696,8714.82,8712.3,8769.10376,0.008406596
1518457660,8698.1,8712.49,8712.3,8750,0.00596682
1518457680,8700,8716.84,8712.3,8750,0.005747126
1518457700,8713.08,8728.01,8718,8749.9999,0.004237296
1518457720,8713.08,8730.16,8750,8739.74805,0.004237308
1518457740,8715.696285,8736.01,8743.5,8739.74805,0.003190074
1518457760,8715.696285,8727.45,8734,8734.637093,0.002173184
1518457780,8715,8733.96,8734.1,8739.201321,0.002776973
1518457800,8720,8726.67,8732.2,8739.515067,0.002237966
1518457820,8715,8740,8729,8761.247733,0.005306682
1518457840,8715,8739.81,8729.9,8767,0.005966724
1518457860,8715,8743,8735,8767,0.005966724
1518457880,8715,8738.9,8732,8750.595083,0.004084347
1518457900,8715,8729.99,8724.8,8776.104084,0.007011369
1518457920,8720,8740.76,8726.7,8777.895083,0.006639344
1518457940,8720,8735,8731.4,8777.104084,0.006548633
1518457960,8720,8736,8732.4,8777.795053,0.006627873
1518457980,8720,8736,8732.9,8777.795053,0.006627873
1518458000,8723.2,8740,8728.9,8789.999995,0.00765774
1518458020,8735,8730.06,8725,8777.795053,0.006051009
1518458040,8720,8716,8703,8789.999996,0.009996552
1518458060,8720,8716,8698,8789.999996,0.010577144
1518458080,8715.04634,8721.89,8707,8789.999998,0.00953256
1518458100,8715,8740,8722.1,8772.000002,0.006540448
1518458120,8715.04634,8728.31,8755,8772.000003,0.006535096
1518458140,8715.04634,8760,8753.3,8772.000003,0.006535096
1518458160,8731,8765,8764.8,8781.999999,0.005841255
1518458180,8730.3,8765,8766.2,8782,0.005921904
1518458200,8745,8761.01,8765.806362,8787.995053,0.00491653
1518458220,8745,8765,8771.8,8800,0.006289308
1518458240,8745,8770,8776,8800,0.006289308
1518458260,8743.6,8769.92,8776.2,8800,0.006450432
1518458280,8739,8763.82,8770.669467,8800.47,0.007033986
1518458300,8740.669,8760.02,8776.2,8800.47,0.006841696
1518458320,8748,8769.92,8776.1,8800.47,0.005997942
1518458340,8749,8770,8776.2,8800,0.005829238
1518458360,8750,8759.02,8774.4,8800,0.005714286
1518458380,8749,8767.74,8774.4,8800,0.005829238
1518458400,8749,8768.01,8769.4,8803,0.006172134
1518458420,8749,8757.3,8768.2,8805,0.006400732
1518458440,8740.4,8758.33,8758,8800.07,0.006826919
1518458460,8749,8758.98,8760.6,8803,0.006172134
1518458480,8749,8759,8749.7,8800.07,0.005837239
1518458500,8748.1,8762.01,8758.4,8800,0.005932717
1518458520,8748.1,8763.04,8760.3,8800,0.005932717
1518458540,8748.1,8765,8759.6,8800,0.005932717
1518458560,8749,8763,8752.1,8805,0.006400732
1518458580,8742.45,8758,8740,8778.788308,0.004438022
1518458600,8748.1,8765.98,8749,8778.788308,0.003507997
1518458620,8750,8764,8758.9,8778.788309,0.003290092
1518458640,8743.45,8762.02,8757.9,8798.999998,0.006353327
1518458660,8740.3,8753.75,8755.1,8798.999997,0.006716016
1518458680,8740.3,8754.98,8755,8778.788312,0.004403546
1518458700,8740.3,8751.09,8745.1,8778.788312,0.004403546
1518458720,8750,8753.92,8746,8778.78831,0.003748949
1518458740,8711.252519,8758.84,8745,8778.78831,0.007752707
1518458760,8715,8758.95,8745,8791.1531,0.008738164
1518458780,8740.3,8759.97,8750,8778.78831,0.004403546
1518458800,8740.3,8759.96,8750,8800,0.006830429
1518458820,8719,8746.3,8743,8780.000003,0.006996216
1518458840,8718.4,8758.74,8741,8781,0.007180217
1518458860,8718.4,8733.19,8738.4,8781,0.007180217
1518458880,8740,8717.02,8718.1,8781,0.007339664
1518458900,8740,8729.27,8723.4,8766.63212,0.00495588
1518458920,8750,8729,8730,8781,0.005957154
1518458940,8750,8735.18,8736.4,8789.988308,0.006274434
1518458960,8750,8727.59,8723.4,8766.632123,0.00495588
1518458980,8729.8,8725,8720.6,8766.632124,0.00527855
1518459000,8731.5,8733.7,8729,8766.632124,0.004311161
1518459020,8739,8739.94,8725.8,8789.088305,0.007253009
1518459040,8739,8726.06,8721.1,8780,0.006753735
1518459060,8749,8731.09,8721.1,8784.99,0.007325911
1518459080,8749,8722.01,8721.2,8767.000005,0.005251571
1518459100,8730,8725,8719.091741,8784.99,0.007557927
1518459120,8710,8720.47,8712.2,8768.000003,0.006659013
1518459140,8719,8710.01,8705,8767.000004,0.007122344
1518459160,8710,8688.52,8685,8767.000007,0.009441567
1518459180,8705,8697.29,8670,8767.000009,0.011188006
1518459200,8681,8691.85,8676.3,8767.000011,0.010453766
1518459220,8696,8710.07,8693.3,8767.000012,0.008477795
1518459240,8682,8695.3,8693.4,8767.000012,0.009790372
1518459260,8681,8694.76,8688.2,8767.000012,0.009906694
1518459280,8710,8695,8688.3,8767.000004,0.009058159
1518459300,8710,8700,8688.3,8767.000004,0.009058159
1518459320,8711,8708.99,8704,8767.000004,0.007238052
1518459340,8711,8725,8714,8760.400002,0.005670991
1518459360,8710.01,8702.23,8706.1,8760.400002,0.006684494
1518459380,8710,8707.41,8700.1,8764,0.007344743
1518459400,8710.01,8719,8705.6,8760.4,0.006294799
1518459420,8710.01,8718.91,8706.1,8760.4,0.006237006
1518459440,8711,8717.51,8706,8762,0.006432346
1518459460,8711,8710.79,8706,8762,0.006432346
1518459480,8724,8706,8700,8751.621936,0.005933556
1518459500,8735.88,8707,8696.3,8745.00001,0.005600084
1518459520,8690.5,8707,8691.9,8739.694056,0.00566067
1518459540,8682,8704,8691.9,8721.577257,0.004558541
1518459560,8682,8704.01,8691,8727.766176,0.005271386
1518459580,8682,8706.85,8691.1,8722.561389,0.004671895
1518459600,8685.005,8715.97,8691.1,8720.670016,0.004106505
1518459620,8680.255,8713.11,8702.5,8720.4,0.004624864
1518459640,8690.01,8707.61,8693,8722.655629,0.003756685
1518459660,8690.01,8701.08,8692.3,8722.655631,0.003756685
1518459680,8685.005,8712.98,8691.8,8727.766177,0.004923564
1518459700,8685.005,8715,8694.8,8727.766179,0.004923564
1518459720,8690.11,8709.91,8697,8751.621936,0.007078384
1518459740,8690.11,8705.18,8697,8768,0.008963063
1518459760,8690.5,8703.59,8695.9,8749.267639,0.006762285
1518459780,8685.005,8704.2,8691.1,8749.267641,0.007399264
1518459800,8705.11,8704.21,8688.3,8749.267641,0.007017212
1518459820,8705.11,8703.08,8683.7,8757.766177,0.008529334
1518459840,8705.11,8702,8685,8757.766177,0.008378374
1518459860,8705.11,8688.03,8680,8767.999994,0.010138248
1518459880,8661,8665.02,8661.7,8757.766177,0.011172633
1518459900,8660.25,8673.65,8654,8757.766178,0.011990545
1518459920,8660,8683.59,8655.1,8757.766178,0.011861929
1518459940,8656.5,8670.21,8657.9,8768,0.012880494
1518459960,8655,8684.22,8658,8768,0.013056037
1518459980,8656,8680.83,8662,8767.999994,0.012939001
1518460000,8652,8665.01,8650,8767.999994,0.013641618
1518460020,8650,8661.33,8637.3,8757.766181,0.013947204
1518460040,8636.8,8650.01,8638.8,8757.766181,0.014005903
1518460060,8638.9,8661.14,8646.637316,8765,0.014596766
1518460080,8631,8659.99,8640.2,8757.766181,0.014687311
1518460100,8630,8658.88,8640.4,8757.766181,0.014804888
1518460120,8630,8655,8641.2,8750,0.013904983
1518460140,8630,8653.98,8640.9,8740.428681,0.012795907
1518460160,8631,8654,8640.8,8740.428681,0.012678563
1518460180,8638.9,8665,8643,8755,0.013439211
1518460200,8638.9,8669.42,8652.8,8744.998452,0.012281477
1518460220,8640.9,8676.89,8666,8744.998452,0.012047177
1518460240,8673,8676.99,8666,8744.998453,0.009115907
1518460260,8643,8670.07,8663,8744.998453,0.011801279
1518460280,8630,8679.89,8667.4,8744.998453,0.013325429
1518460300,8630,8686.14,8683,8755,0.014484357
1518460320,8643,8688.3,8685,8770,0.014693972
1518460340,8673,8673.38,8664.8,8770,0.012141077
1518460360,8655.1,8687.4,8674.3,8781.588422,0.014614322
1518460380,8672,8700.98,8683.5,8785.706332,0.013111893
1518460400,8673,8696.15,8690,8792.56139,0.013785471
1518460420,8650.11,8701.2,8694.2,8795.179134,0.016770785
1518460440,8653.31,8696.86,8688.1,8800.247368,0.016980481
1518460460,8653.31,8696,8686,8805,0.017529708
1518460480,8653.31,8680,8666.5,8810.07,0.018115611
1518460500,8700,8699.31,8677.9,8833,0.017872988
1518460520,8700,8698.99,8686,8835,0.017154041
1518460540,8700,8690.4,8680.5,8838,0.018144116
1518460560,8699,8699.1,8680.3,8839.449341,0.018334544
1518460580,8699,8684.28,8676.4,8840.191579,0.018877827
1518460600,8676,8684.1,8673.5,8840.191579,0.019218491
1518460620,8664,8694.96,8687,8839,0.020198523
