Time,Bittrex,Binance,Bitfinix,Poloniex,Bittrex-Binance-diff,Bittrex-Bitfinix-diff,Bittrex-Poloniex-diff,Binance-Bitfinix-diff,Binance-Poloniex-diff,Bitfinix-Poloniex-diff,max diff
1518418060,8420,8434,8434.9,8376.510406,0.001662708,0.001769596,0.005191851,0.000106711,0.006863191,0.006970635,0.006970635
1518418080,8420.1,8435.02,8436.4,8380,0.00177195,0.001935844,0.004785203,0.000163604,0.006565632,0.00673031,0.00673031
1518418100,8435.249271,8425.13,8437.33104,8378.561389,0.001201082,0.000246794,0.006765825,0.001448172,0.005558068,0.007014289,0.007014289
1518418120,8437,8425.18,8442.9,8378.561389,0.001402937,0.000699301,0.006974779,0.002103219,0.005564035,0.007678957,0.007678957
1518418140,8437,8429.96,8436.9,8380,0.000835117,1.19E-05,0.006801909,0.000823254,0.005961814,0.006789976,0.006801909
1518418160,8441,8429.6,8436.9,8382.439211,0.001352377,0.00048596,0.006986127,0.000865996,0.005626141,0.00649701,0.006986127
1518418180,8441,8425.22,8436.9,8387.747632,0.001872948,0.00048596,0.006348828,0.001386314,0.004467513,0.00586002,0.006348828
1518418200,8437,8429,8437.1,8387.747632,0.000949104,1.19E-05,0.005871942,0.000960968,0.00491817,0.005883864,0.005883864
1518418220,8444.99,8425.18,8430,8395.710263,0.002351285,0.001778173,0.005869633,0.000572095,0.003510095,0.004084197,0.005869633
1518418240,8438,8428.7,8428,8399,0.001103373,0.001186521,0.00464341,8.31E-05,0.003536135,0.003452792,0.00464341
1518418260,8438,8423.36,8428,8399,0.001738024,0.001186521,0.00464341,0.000550849,0.002900345,0.003452792,0.00464341
1518418280,8438,8411.01,8428,8400,0.003208889,0.001186521,0.00452381,0.002019971,0.001310714,0.003333333,0.00452381
1518418300,8438,8427.17,8428.7,8387.3,0.001285129,0.001103373,0.006044854,0.000181556,0.004753616,0.004936034,0.006044854
1518418320,8440,8427.49,8440.648808,8402.56139,0.001484428,7.69E-05,0.004455619,0.001561415,0.002966787,0.004532834,0.004532834
1518418340,8440,8424.67,8433.1,8411.202429,0.001819656,0.000818204,0.003423716,0.001000633,0.001601147,0.002603382,0.003423716
1518418360,8440,8421.11,8432.6,8411.202429,0.002243172,0.000877547,0.003423716,0.001364428,0.001177902,0.002543937,0.003423716
1518418380,8438,8412.05,8433.7,8411.202429,0.00308486,0.000509859,0.003185938,0.002573689,0.000100767,0.002674715,0.003185938
1518418400,8440,8415.02,8426,8411.202429,0.002968502,0.001661524,0.003423716,0.00130481,0.000453867,0.001759269,0.003423716
1518418420,8440.21,8415.65,8426.3,8411.202429,0.002918372,0.001650784,0.003448683,0.001265499,0.000528768,0.001794936,0.003448683
1518418440,8440.21,8413,8426.1,8411.202429,0.00323428,0.001674559,0.003448683,0.001557114,0.000213712,0.001771158,0.003448683
1518418460,8440.21,8415.58,8426,8410.000002,0.002926714,0.001686447,0.003592152,0.00123818,0.000663496,0.001902497,0.003592152
1518418480,8440.21,8419.17,8428.1,8411.202429,0.002499059,0.00143686,0.003448683,0.001060675,0.000947257,0.002008936,0.003448683
1518418500,8440.21,8414.14,8431.6,8438.561389,0.003098356,0.001021158,0.000195366,0.002075078,0.002902422,0.000825631,0.003098356
1518418520,8440.21,8425,8431.6,8428.762704,0.001805341,0.001021158,0.001358123,0.000783383,0.000446612,0.000336621,0.001805341
1518418540,8438,8427,8435.1,8431.762704,0.001305328,0.000343801,0.000739738,0.000961196,0.000565172,0.000395801,0.001305328
1518418560,8438,8425.55,8435.1,8455,0.001477648,0.000343801,0.002014695,0.001133457,0.003495321,0.00235919,0.003495321
1518418580,8438,8424.68,8432,8455.008456,0.001581069,0.000711575,0.002015698,0.000868876,0.003599953,0.002728707,0.003599953
1518418600,8438,8426.99,8433.4,8470.000001,0.001306516,0.00054545,0.003792368,0.000760651,0.005103839,0.004339887,0.005103839
1518418620,8440,8422.01,8430,8470.008472,0.00213607,0.00118624,0.003555506,0.000948705,0.005699171,0.004745963,0.005699171
1518418640,8438,8426.64,8433.4,8470.016944,0.001348106,0.00054545,0.003794376,0.000802218,0.005147597,0.004341896,0.005147597
1518418660,8438,8430.07,8433,8498.999997,0.00094068,0.000592909,0.007229201,0.000347565,0.008176681,0.007826396,0.008176681
1518418680,8438,8426.1,8429,8498.999998,0.001412279,0.001067742,0.007229201,0.000344169,0.008651689,0.008304662,0.008651689
1518418700,8438,8426,8429,8498.01,0.001424163,0.001067742,0.007111875,0.000356041,0.008546167,0.008187211,0.008546167
1518418720,8439,8426,8429.1,8498.999996,0.001542844,0.001174503,0.007109847,0.000367909,0.00866366,0.0082927,0.00866366
1518418740,8439,8427.71,8427.1,8498,0.001339628,0.001412111,0.00699135,7.24E-05,0.008340344,0.008413333,0.008413333
1518418760,8439,8427.63,8426.2,8498,0.001349134,0.001519071,0.00699135,0.000169709,0.008349916,0.008521042,0.008521042
1518418780,8439,8434.5,8420.1,8475.862704,0.000533523,0.002244629,0.004368137,0.001710193,0.00490399,0.00662257,0.00662257
1518418800,8440,8433,8419.6,8480,0.000830072,0.002422918,0.004739336,0.001591525,0.005573343,0.007173737,0.007173737
1518418820,8439,8425.12,8411.2,8499.99,0.001647454,0.003305117,0.00722716,0.001654936,0.00888652,0.010556163,0.010556163
1518418840,8440,8421,8416.1,8489.862703,0.002256264,0.002839795,0.005907903,0.000582217,0.008177497,0.008764476,0.008764476
1518418860,8440,8423.62,8425,8498.999999,0.001944532,0.001780415,0.006990521,0.000163825,0.008948647,0.008783383,0.008948647
1518418880,8439,8414.15,8418.530351,8498.999999,0.002953358,0.002431499,0.007109847,0.000520593,0.010084203,0.009558634,0.010084203
1518418900,8435,8414.01,8420.7,8499.989993,0.002494649,0.001698196,0.007704801,0.000795102,0.01021867,0.009416081,0.01021867
1518418920,8438,8420,8427.2,8499.989999,0.002137767,0.001281564,0.007346527,0.000855107,0.0095,0.008637507,0.0095
1518418940,8422,8405.41,8411.157533,8499.99,0.001973729,0.001289058,0.009260271,0.00068379,0.011252277,0.010561265,0.011252277
1518418960,8422,8404,8405.013517,8501,0.002141837,0.002020994,0.009380195,0.000120599,0.011542123,0.011420146,0.011542123
1518418980,8418.1,8390.83,8406.24232,8506.56139,0.003249976,0.00141058,0.010508475,0.001836805,0.013792603,0.011933878,0.013792603
1518419000,8418.09,8398.24,8408.085525,8511.789426,0.00236359,0.001189864,0.011130723,0.001172332,0.013520622,0.01233383,0.013520622
1518419020,8421.99,8386,8400,8513.862703,0.004291677,0.002617857,0.010908669,0.001669449,0.015247162,0.013555084,0.015247162
1518419040,8400.99,8388.75,8393.1,8530,0.001459097,0.000940058,0.015356523,0.000518552,0.016838027,0.016311017,0.016838027
1518419060,8400.99,8380.06,8389.3,8538.748722,0.002497595,0.001393442,0.016397915,0.001102617,0.018936466,0.017814206,0.018936466
1518419080,8400,8380.23,8390,8537.3,0.002359124,0.001191895,0.016345238,0.001165839,0.018742922,0.017556615,0.018742922
1518419100,8410,8379.99,8385.7,8520.000004,0.00358115,0.00289779,0.013079668,0.000681385,0.016707658,0.01601536,0.016707658
1518419120,8419,8376.72,8386.8,8530.845901,0.005047322,0.003839367,0.013284939,0.001203335,0.018399314,0.017175311,0.018399314
1518419140,8400,8378.99,8386.2,8530.845901,0.002507462,0.001645561,0.015576893,0.000860486,0.018123414,0.017248086,0.018123414
